"Date of
 Encashment",Name of the Political Party,Denomination
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,1000000
12 April 2019,BHARAT RASHTRA SAMITHI,1000000
12 April 2019,BHARAT RASHTRA SAMITHI,1000000
12 April 2019,BHARAT RASHTRA SAMITHI,1000000
12 April 2019,BHARAT RASHTRA SAMITHI,1000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARAT RASHTRA SAMITHI,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,100000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,100000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,100000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,100000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,100000
12 April 2019,BHARTIYA JANTA PARTY,100000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,100000
12 April 2019,BHARTIYA JANTA PARTY,1000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
12 April 2019,BHARTIYA JANTA PARTY,10000000
